ID,RM_Lat,RM_Lon,DN_Lat,DN_Lon,S1_Lat,S1_Lon,S2_Lat,S2_Lon,OB_Lat,OB_Lon,Country,Region from UN,Subregion from UN,World Bank Income Classification,Economic Development,Geomorphic_Area,Habitable Area,Population year 2000,Population year 2010,Population_2017,2017_pop_density_ppl_per_km2,Habitable Area (km^2),2000 Population,2010 Population,2017_Population,Storm_surge_height,Habitable Area (km^2).1,2000 Population.1,GRUMP (year 2000),GPWv4_2020,BasinID2,Wave_Height_Hw,Tidal_Range_Ht (m),Bathymetric_Slope_from_RM_Sbr,Sea_Level_Change,Discharge_prist,Discharge_dist,Discharge_tide,QRiver_prist,QRiver_dist,QTide,QWave,delta_name,delta_area,Discharge50,Discharge90,Discharge99,Discharge999,SLR,depth_20km_offshore,Total_river_length,Coastline_length,VLM_value,Total_river_width,total_delta_area,total_delta_pixels,total_delta_area_inun,total_delta_pixels_inun,inundated_area,non_inundated_area,inundation_depth,total_inundation_volume,acc_raise_0p5,acc_raise_1,acc_raise_10,urban_area,urban_inundated_area,urban_non_inundated_area,urban_inundation_depth,urban_inundated_volume,whole_urban_inundated_volume
3672,0.201633,-49.465852,-1.545779,-52.544367,-0.165915,-49.25165,1.267445,-49.898249,0.34469,-49.519899,Brazil,Americas,South America,Upper middle income,Developing Economies,84429.42078,58747.723,375797,646335,746287,12.70325,347.4924316,1834,3467,5208,1.659632961,20878.605,122235.7,446556.13,918308,540974,0.1925175786,2.745,5.4625544e-05,1.854980041,138530,110920,157236.5312,31142,24962.4,35347.2898,65.56156921,Amazon,8.442942078e+10,206663.0312,356019.5312,417577.875,453298.75,0.7208,1.3656386,2057081.35,139255.7717,-0.0006326842617,13850,16147880000,1614788,16098630000,1609863,1195370000,14903260000,107600.3,1345003750,0,0,1,11120000,744000,10190000,126.0176773,1260176.773,12725736.74
4027,22.38507,91.162739,25.309351,89.670162,21.731836,87.828615,22.416624,91.73877,21.865314,90.813277,Bangladesh,Asia-Pacific,Southern Asia,Lower middle income,Least Developed,80174.17187,68849.461,77233952,103549568,105461968,1531.7762,4548.275391,2644441,2599748,2329660,2.694057465,48589.383,62956828,87922480,111255168,2259146,0.3302505493,2.261,0.000296696672,2.021676697,38181,28876,30715.8418,53453,58115.2,30715.8418,180.6237183,Ganges-Brahmaputra,8.017417187e+10,5724.797852,18485.29102,25825.91797,29132.30273,0.6664,7.4174168,4896599.575,328486.5581,0,42920.13882,55528240000,5552824,55214880000,5521488,21937120000,33277760000,5149048.8,6.436311e+10,0,0,1,3835840000,631736000,3046170000,157413.0938,1574130938,1.051153639e+10
3419,28.930368,-89.411717,31.795261,-91.361428,29.776978,-93.222543,30.178204,-89.735947,28.930428,-89.404582,United States of America,Americas,Northern America,High income,Developed Economy,51124.8909,39829.07,2851512,2887614,3065114,76.956703,4377.813477,43237,26840,27438,0.9839985898,24338.334,1776727.5,2881979.3,2962455.5,4267691,0.9591522217,0.7745,0.00260525064,4.155023541,15126,12380,620.1959839,27284,16291.2,620.1959839,314.7913818,Mississippi,5.11248909e+10,9173.245117,22805.46484,40335.94922,59618.75781,1.1712,65.131266,1187111.558,271517.4194,-0.001386599306,1299.166309,43808870000,4380887,43801890000,4380189,11630080000,32171810000,1662754.2,2.07844275e+10,0,0,1,1692900000,327480000,1283550000,53078.54688,530785468.8,2824652353
4158,9.957691,106.639123,11.552374,104.950376,8.5899,104.7384,10.405483,106.784588,8.56528,104.839616,Vietnam,Asia-Pacific,South-Eastern Asia,Lower middle income,Developing Economies,39465.66107,37597.891,15867896,17418398,17924792,476.74994,5802.758789,2061951,1951692,1962159,1.563265137,37250.879,16023133,16169192,17709606,4050686,0.7527920246,4.0535,0.00017449808,-0.1069563585,16361,12762.4,63547.30469,15737,12315.2,61123.64366,2626.950684,Mekong,3.946566107e+10,8425.516602,36750.08203,47866.10938,52368.74219,0.7192,4.362452,1446097.623,241065.9299,-0.0007424214564,3689.79502,29773310000,2977331,29771580000,2977158,6598360000,23173220000,703677.55,8795969375,0,0,1,1966680000,379136000,1492760000,59623.28516,596232851.6,2586162995
124,4.323214,5.968307,6.176121,6.762976,6.017407,4.867483,4.434021,7.408647,4.391392,5.85955,Nigeria,Africa,Western Africa,Lower middle income,Developing Economies,34553.93237,32517.172,9617618,11071605,12662285,389.40302,41.08765793,13277,19732,39278,1.021188551,8561.4141,2720426.8,8329095.5,16004841,908572,1.414187717,1.336,0.000520390224,2.927657541,8748.6,6959.68,5640.956055,13654,11363.2,5640.956055,2670.717529,Niger,3.455393237e+10,5854.004395,20627.97461,31661.65234,39433.10156,0.788,13.0097556,3268607.67,265349.0519,-0.0005385745573,8586.238358,28729630000,2872963,28729210000,2872921,6398950000,22330260000,692851.35,8660641875,0,0,1,1142940000,39536000,1093520000,5458.129883,54581298.83,1534603401
4050,15.70891476,95.08206613,17.968128,95.466298,15.984048,94.274592,16.47249,96.410933,15.67197,95.305082,Myanmar,Asia-Pacific,South-Eastern Asia,Lower middle income,Least Developed,28671.66903,25629.215,7281147,9841221,9715010,379.06,213.5599976,12437,8013,13378,1.71276967,22269.699,6568611,8643275,8782435,3032116,1.334009075,1.998,0.000493715472,4.49905117,12676,10023.2,16210.3252,10031,8016,12827.8457,2901.693848,Irriwaddy,2.867166903e+10,6785.57959,29817.41992,35553.65625,38611.38672,0.7104,12.3428868,3498229.635,187765.8146,0.0002237983524,10309.62192,21126440000,2112644,21095920000,2109592,2412060000,18683860000,144484.8375,1806060469,0,0,1,380850000,22056000,353280000,2862.719238,28627192.38,293150046.4
1,31.469136,30.364771,30.091862,31.230196,31.05605,32.628367,30.819839,29.07821,31.601481,31.101069,Egypt,Africa,Northern Africa,Lower middle income,Developing Economies,28344.80422,26359.723,32425992,38046124,45221260,1715.5438,3338.837402,2328938,2460924,3120992,0.3364463947,18983.191,22913636,31558218,44033400,200412,0.5954782009,0.272,0.00081999352,3.40987979,7669,5962.16,350.5264282,33631,538.096,350.5264282,1254.608276,Nile,2.834480422e+10,8796.137695,19052.14062,38125.65234,45332.36328,0.7504,20.499838,602896.3687,272215.1293,-0.002067005027,625.0994812,24646710000,2464671,24646120000,2464612,2307060000,22339060000,261599.225,3269990312,0,0,1,2360220000,99800000,2235470000,20354.6582,203546582,3372067655
3691,8.614331,-60.57923,8.60295,-62.227841,8.53915,-60.57501,10.059396,-62.463264,9.463256,-60.869017,Venezuela,Americas,South America,Upper middle income,Developing Economies,22522.61971,20698.414,69834,105932,160743,7.7659574,15.20018005,99,10,47,1.209386178,526.0448,397.86426,71042.797,235577.14,268554,1.120012856,1.291,9.1160656e-05,4.096269826,34074,27245.6,12869.71191,19594,15579.2,7400.632014,3803.660156,Orinoco,2.252261971e+10,26503.44727,48864.78516,54927.4375,60681.25,0.7504,2.2790164,1376090.356,213627.4281,-0.001292199374,7201.746387,11918110000,1191811,11913900000,1191390,729010000,11184890000,85929.70624,1074121328,1,1,1,12500000,0,12500000,0,0,18417461.22
2380,73.5272,127.733,71.874017,127.194131,71.893135,128.587513,72.944187,121.833698,73.509442,127.896943,Russia,Europe & Central Asia,Eastern Europe,Upper middle income,Developing Economies,21059.67587,14590.521,55,130,187,0.01281654027,1572.881836,0,0,0,0.9855662795,10589.679,676.97766,932.96765,792.85004,3648,0.2177578926,0.184,0.000145276008,,8491.8,6776.48,156.0876465,5437.9,4081.52,99.95395709,92.76947021,Lena,2.105967587e+10,3691.6521,23842.80273,46226.33203,54200.23438,0.9448,3.6319002,2569170.036,204815.6306,0,23765.39867,44794120000,4479412,44571980000,4457198,571570000,44000410000,28011.64687,350145585.9,1,1,1,0,0,0,0,0,0
1538,34.477038,119.7805,34.2193,119.274,33.925,120.397,34.80338672,119.2296501,34.2995045,120.279739,China,Asia-Pacific,Eastern Asia,Upper middle income,Developing Economies,19735.02037,19216.75,11551112,11751301,10541063,548.53516,16822.45703,9581866,9519830,8531302,3.221839407,18813.049,10674477,11108785,9185224,1440556,0.7155944347,2.153,0.00050625624,7.574344978,73.27599085,74.21073842,1473.22644,167.0861788,180.7204391,1473.22644,202.2559204,Guan He,1.973502037e+10,69.00666809,293.2848511,1008.764832,1964.404663,0.7464,12.656406,109897.8503,115999.1667,-0.0009761379909,478,3569330000,356933,3563930000,356393,1827570000,1736360000,282221.175,3527764688,0,0,1,543950000,213720000,276800000,46707.95703,467079570.3,1001387698
